NTA_CODE,0-25k,25-50k,50-75k,75-100k,100-125k,125-150k,> 150k
MN01,0.32,0.21,0.15,0.14,0.07,0.04,0.07
MN03,0.37,0.22,0.15,0.09,0.06,0.04,0.07
MN04,0.28,0.24,0.18,0.11,0.06,0.05,0.09
MN06,0.41,0.25,0.11,0.08,0.06,0.03,0.05
MN09,0.30,0.14,0.13,0.08,0.07,0.05,0.23
MN11,0.27,0.18,0.14,0.09,0.08,0.05,0.18
MN12,0.17,0.11,0.11,0.09,0.09,0.06,0.37
MN13,0.17,0.10,0.10,0.08,0.09,0.07,0.39
MN14,0.14,0.08,0.09,0.10,0.08,0.07,0.44
MN15,0.19,0.15,0.10,0.11,0.10,0.07,0.29
MN17,0.18,0.10,0.07,0.08,0.08,0.08,0.41
MN19,0.10,0.09,0.12,0.09,0.09,0.07,0.44
MN20,0.15,0.12,0.13,0.09,0.11,0.08,0.33
MN21,0.12,0.09,0.11,0.10,0.11,0.08,0.39
MN22,0.22,0.17,0.12,0.10,0.10,0.07,0.23
MN23,0.10,0.11,0.10,0.09,0.08,0.07,0.44
MN24,0.15,0.09,0.09,0.09,0.08,0.05,0.45
MN25,0.11,0.06,0.07,0.08,0.11,0.08,0.50
MN27,0.38,0.19,0.13,0.10,0.05,0.04,0.12
MN28,0.45,0.19,0.11,0.05,0.07,0.03,0.10
MN31,0.12,0.11,0.12,0.11,0.09,0.07,0.38
MN32,0.12,0.10,0.13,0.12,0.09,0.09,0.34
MN33,0.39,0.20,0.13,0.09,0.05,0.03,0.11
MN34,0.47,0.22,0.13,0.07,0.04,0.02,0.05
MN35,0.26,0.23,0.17,0.13,0.07,0.05,0.09
MN36,0.33,0.20,0.17,0.09,0.07,0.05,0.07
MN40,0.08,0.08,0.08,0.09,0.08,0.05,0.54
MN50,0.12,0.14,0.09,0.13,0.16,0.06,0.30
MN99,,,,,,,
,,,,,,,